userId,recommended_product_ids
61,11
61,16
61,21
61,15
61,20
24,18
24,11
24,16
24,15
24,20
95,18
95,11
95,16
95,21
95,15
64,18
64,11
64,16
64,15
64,20
20,18
20,11
20,16
20,21
20,15
80,18
80,11
80,16
80,21
80,15
22,18
22,21
22,15
22,20
22,4
99,18
99,11
99,16
99,21
99,15
60,18
60,11
60,21
60,15
60,20
98,18
98,11
98,16
98,21
98,15
84,18
84,11
84,16
84,21
84,15
69,18
69,11
69,20
69,14
69,4
29,18
29,11
29,16
29,21
29,15
86,18
86,11
86,16
86,21
86,15
40,18
40,11
40,16
40,21
40,15
26,18
26,16
26,21
26,15
26,20
92,11
92,16
92,20
92,14
92,13
51,16
51,15
51,20
51,14
51,4
25,18
25,11
25,16
25,15
25,20
93,18
93,11
93,16
93,21
93,15
62,18
62,11
62,16
62,15
62,20
10,11
10,16
10,15
10,20
10,14
97,11
97,21
97,15
97,20
97,14
58,18
58,11
58,16
58,21
58,15
47,18
47,11
47,16
47,21
47,15
27,18
27,11
27,16
27,21
27,20
63,18
63,11
63,16
63,21
63,15
85,18
85,11
85,16
85,21
85,15
83,18
83,11
83,16
83,21
83,15
45,18
45,16
45,21
45,4
45,13
42,18
42,11
42,16
42,21
42,15
71,18
71,11
71,16
71,21
71,15
46,16
46,21
46,15
46,20
46,14
49,18
49,11
49,20
49,14
49,4
34,18
34,11
34,16
34,21
34,20
52,18
52,11
52,16
52,21
52,15
91,18
91,11
91,15
91,20
91,13
78,18
78,11
78,21
78,15
78,20
32,18
32,11
32,16
32,21
32,15
65,18
65,11
65,16
65,21
65,15
88,18
88,11
88,16
88,21
88,20
53,18
53,11
53,16
53,21
53,15
100,18
100,11
100,21
100,15
100,20
50,18
50,11
50,16
50,15
50,20
75,11
75,16
75,21
75,15
75,20
74,18
74,11
74,16
74,21
74,15
44,11
44,16
44,21
44,20
44,14
87,18
87,11
87,16
87,21
87,15
55,18
55,11
55,16
55,21
55,15
89,18
89,11
89,16
89,21
89,15
28,18
28,11
28,16
28,21
28,15
72,18
72,11
72,16
72,21
72,15
19,18
19,11
19,16
19,21
19,15
70,18
70,11
70,16
70,15
70,20
81,11
81,16
81,21
81,15
81,20
30,18
30,11
30,16
30,21
30,15
33,18
33,11
33,16
33,15
33,20
59,18
59,11
59,16
59,21
59,15
68,18
68,11
68,16
68,21
68,15
76,18
76,11
76,16
76,21
76,20
37,18
37,11
37,16
37,21
37,15
9,18
9,11
9,16
9,21
9,15
48,18
48,11
48,21
48,15
48,14
56,18
56,11
56,16
56,21
56,15
82,11
82,16
82,21
82,15
82,20
17,11
17,16
17,21
17,15
17,20
54,18
54,11
54,16
54,15
54,20
31,18
31,11
31,16
31,21
31,15
43,18
43,11
43,16
43,21
43,15
73,18
73,11
73,16
73,21
73,20
77,18
77,11
77,16
77,21
77,15
18,18
18,11
18,16
18,21
18,15
79,18
79,11
79,16
79,21
79,15
66,18
66,11
66,16
66,21
66,15
38,18
38,11
38,21
38,15
38,20
96,18
96,11
96,16
96,21
96,15
36,18
36,11
36,16
36,21
36,15
21,18
21,11
21,16
21,21
21,15
94,18
94,11
94,16
94,21
94,15
23,18
23,11
23,16
23,21
23,15
41,18
41,11
41,16
41,21
41,15
67,18
67,11
67,16
67,21
67,15
39,18
39,11
39,16
39,21
39,15
57,18
57,11
57,16
57,21
57,15
90,11
90,16
90,21
90,15
90,20
35,18
35,11
35,16
35,21
35,15
